               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069191,            0.028539,            0.032283,             0.56424,             0.73196,             0.72998,             0.38741,            0.027458,             0.01066,           0.0059983,            0.070207,           0.0033103,           0.0033103
                   1,            0.050398,              0.0191,           0.0097012,             0.71112,             0.81951,             0.85209,             0.43744,            0.026647,           0.0068195,           0.0017685,            0.039988,           0.0064244,           0.0064244
                   2,             0.04635,             0.01537,           0.0066007,              0.7027,             0.75041,             0.81791,             0.46923,            0.025416,           0.0072936,           0.0019899,           0.0095484,           0.0093185,           0.0093185
                   3,            0.040792,            0.014399,           0.0045966,             0.87839,             0.85913,             0.92367,             0.61941,            0.021333,           0.0065496,            0.001177,             0.00901,             0.00901,             0.00901
                   4,            0.036074,             0.01388,           0.0045064,             0.84148,             0.88757,             0.93532,             0.63601,            0.016795,           0.0069708,           0.0011851,             0.00901,             0.00901,             0.00901
                   5,            0.036484,            0.013992,           0.0041635,             0.84597,             0.94834,             0.98026,             0.64341,            0.017119,           0.0059143,           0.0013739,             0.00868,             0.00868,             0.00868
                   6,            0.032243,            0.012923,           0.0030256,             0.94925,             0.96975,             0.98458,             0.73017,            0.015394,           0.0058308,          0.00070151,             0.00835,             0.00835,             0.00835
                   7,            0.030302,             0.01257,           0.0034516,             0.96511,             0.94233,             0.98487,             0.71613,            0.014742,           0.0055471,           0.0013984,             0.00802,             0.00802,             0.00802
                   8,            0.028701,            0.012159,            0.003136,              0.9736,             0.97813,             0.99281,             0.72996,            0.013994,           0.0053991,          0.00052426,             0.00769,             0.00769,             0.00769
                   9,            0.028363,            0.012111,           0.0020405,             0.95518,              0.9837,             0.98724,             0.75361,            0.015334,           0.0049561,          0.00058087,             0.00736,             0.00736,             0.00736
                  10,            0.027016,            0.011429,           0.0027322,             0.97339,             0.98539,             0.99368,             0.77629,            0.013112,           0.0048837,          0.00056291,             0.00703,             0.00703,             0.00703
                  11,            0.026342,            0.011331,           0.0026536,              0.9303,             0.95915,             0.99179,             0.77067,            0.013179,           0.0054473,          0.00051329,              0.0067,              0.0067,              0.0067
                  12,            0.024989,            0.011418,           0.0021244,             0.96617,             0.97727,             0.99145,             0.75796,             0.01342,           0.0053947,          0.00045221,             0.00637,             0.00637,             0.00637
                  13,            0.023789,             0.01106,           0.0015557,             0.98414,             0.98847,             0.99419,             0.80141,             0.01194,             0.00461,          0.00037829,             0.00604,             0.00604,             0.00604
                  14,            0.023477,            0.010651,           0.0022405,             0.99108,             0.98813,             0.99458,             0.79405,            0.011845,           0.0046068,          0.00036263,             0.00571,             0.00571,             0.00571
                  15,            0.023006,            0.010434,           0.0013144,             0.97558,             0.98768,             0.99356,             0.80945,             0.01141,           0.0045152,          0.00043405,             0.00538,             0.00538,             0.00538
                  16,            0.022196,            0.010349,           0.0013825,              0.9812,             0.99461,             0.99444,             0.81293,            0.011019,           0.0043096,          0.00026199,             0.00505,             0.00505,             0.00505
                  17,            0.021194,           0.0099156,           0.0012978,             0.98537,             0.99513,              0.9947,             0.81372,            0.011148,           0.0043576,          0.00028626,             0.00472,             0.00472,             0.00472
                  18,            0.020671,           0.0097641,           0.0011426,             0.98781,             0.99104,             0.99426,             0.81839,             0.01052,           0.0042427,          0.00028481,             0.00439,             0.00439,             0.00439
                  19,            0.020366,           0.0097041,          0.00090953,             0.99319,             0.99165,             0.99448,             0.82903,            0.010658,           0.0041565,            0.000223,             0.00406,             0.00406,             0.00406
                  20,            0.019629,           0.0095923,          0.00086022,             0.99051,             0.99466,             0.99479,             0.82903,            0.010371,           0.0039992,          0.00020226,             0.00373,             0.00373,             0.00373
                  21,            0.019252,           0.0095288,          0.00077848,             0.99021,             0.99073,             0.99421,             0.83108,             0.01028,           0.0040133,          0.00019456,              0.0034,              0.0034,              0.0034
                  22,            0.018493,           0.0090763,          0.00058591,             0.99368,              0.9924,             0.99476,              0.8187,            0.010446,           0.0041697,          0.00016492,             0.00307,             0.00307,             0.00307
                  23,            0.018193,           0.0090947,          0.00064994,             0.99279,             0.99351,             0.99469,             0.81821,             0.01058,           0.0040842,          0.00014101,             0.00274,             0.00274,             0.00274
                  24,            0.017773,           0.0090865,          0.00061329,             0.99474,             0.99026,             0.99478,             0.83287,            0.010178,           0.0041286,          0.00012211,             0.00241,             0.00241,             0.00241
                  25,            0.017757,           0.0087301,          0.00051799,             0.98917,             0.99514,             0.99464,             0.82954,              0.0101,           0.0041518,          0.00011233,             0.00208,             0.00208,             0.00208
                  26,            0.017112,           0.0087265,          0.00067073,             0.99356,             0.99352,             0.99485,              0.8364,            0.010151,           0.0041777,          9.5393e-05,             0.00175,             0.00175,             0.00175
                  27,             0.01628,            0.008528,          0.00054405,              0.9927,             0.99258,             0.99489,             0.83316,             0.01004,           0.0041145,          6.3976e-05,             0.00142,             0.00142,             0.00142
                  28,            0.015748,           0.0084568,          0.00047063,             0.99328,             0.99543,              0.9949,              0.8368,           0.0098385,           0.0039863,          4.8502e-05,             0.00109,             0.00109,             0.00109
                  29,            0.016031,           0.0083761,          0.00038545,             0.99605,             0.99449,             0.99495,             0.83659,           0.0098109,           0.0039703,          4.2067e-05,             0.00076,             0.00076,             0.00076
